JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
CTO-13-03-g-013	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
JOMFP-19-100-g001	the patient with the skin in the right eye of the patient on the right side <EOS>
er-5-1-29f2	ct scan of the abdomen showing a large mass in the right lower lobe of the right lobe of the.ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe and
cln-66-03-493-g004	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
IJRI-24-225-g004	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
jcu-21-94-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1752-2897-4-12-1	chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right.chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the left.chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the abdomen
wjps-1-011-g004	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
1752-1947-0003-0000007318-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
rjv11401	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
cro0004-0186-f02	chest computed tomography scan of the abdomen showing a large mass in the right lower lobe with a large cystic.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe with a large mass.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe with a large amount
AJNS-9-45-g003	photomicrograph of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
12883_2014_188_Fig1_HTML	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe
1752-1947-4-287-4	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
JETS-6-224-g002	x-ray of the left knee showing a large left lower lobe lesion in the right lower lobe and the right.x-ray of the left knee showing a large left lower lobe lesion in the right lower lobe and the left.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe with a large
1532-429X-12-51-3	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
OL-05-05-1643-g01	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
IJOrtho-49-223-g001	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
jsls-14-1-133-g02	intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe of the right eye . <EOS>
HV-11-16-g003	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
1749-799X-8-43-1	preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe. <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower region <EOS>
